feature,value,shap_toward_low_quality
alcohol,9.4,0.1478992497292279
volatile acidity,0.41,0.09455050141655098
density,0.9968,0.058442715482006594
citric acid,0.33,-0.030621865160890528
residual sugar,10.1,-0.023470984443161345
chlorides,0.043,-0.022863336443282315
free sulfur dioxide,28.0,-0.022116758276055352
total sulfur dioxide,152.0,0.012390967980150262
pH,3.2,0.005352009404075302
sulphates,0.52,0.0042770610338028455
fixed acidity,6.9,-0.0039898303689448545
wine_type,0.0,-0.0026302922063396713
