feature,importance
sc__temp,0.2726407063141454
pass__yr,0.2678236979523059
sc__atemp,0.2520443722522693
sc__hum,0.064178012990969
oh__season_4,0.045150866172397136
sc__windspeed,0.03395888980558441
oh__weathersit_3,0.006862015082724149
pass__workingday,0.006085148808575539
oh__weathersit_2,0.006081286061241734
oh__mnth_9,0.004687511364162367
oh__weekday_6,0.004623183433605755
oh__mnth_2,0.004421388153615195
oh__season_2,0.004217647039544554
oh__mnth_10,0.0037555048610794506
oh__mnth_4,0.0031282052726616786
oh__mnth_12,0.002735486503360236
oh__weekday_4,0.002181015292622305
pass__holiday,0.0019558857423309615
oh__weekday_1,0.001936274001210717
oh__weekday_3,0.0017959369000017163
oh__mnth_3,0.0017291340907173562
oh__weekday_2,0.0015972362807272023
oh__weekday_5,0.0015545325763114005
oh__mnth_5,0.0012342773030734355
oh__mnth_6,0.0009501779866922036
oh__mnth_8,0.0009237206475177125
oh__mnth_11,0.0009197247811992618
oh__season_3,0.000416811184855048
oh__mnth_7,0.0004113511444989049
